name
University of Nairobi
Kenyatta University
Jomo Kenyatta University of Agriculture and Technology (JKUAT)
Strathmore University
United States International University Africa (USIU-Africa)
Aga Khan University Hospital, Nairobi
Kenyatta National Hospital
Moi University
Egerton University
Maseno University
Kenya Medical Research Institute (KEMRI)
Kenya Institute of Management (KIM)
Kenya School of Government
Kenya Wildlife Service Training Institute
Kenya Utalii College
Kenya School of Monetary Studies
Kenya Forestry Research Institute (KEFRI)
Kenya Agricultural and Livestock Research Organization (KALRO)
Kenya Industrial Research and Development Institute (KIRDI)
Kenya Marine and Fisheries Research Institute (KMFRI)
Kenya Institute for Public Policy Research and Analysis (KIPPRA)
Kenya Institute of Curriculum Development (KICD)
National Museums of Kenya
Kenya Bureau of Standards (KEBS)
Kenya Revenue Authority Training School (KRATS)
