name
Safaricom
Kenya Airways
Equity Bank
KCB Bank Kenya
Standard Chartered Bank Kenya
Cooperative Bank of Kenya
Barclays Bank of Kenya
Kenya Commercial Bank (KCB)
Nation Media Group
Standard Group
Citizen TV
Kenya Power
National Bank of Kenya
Bidco Africa
Centum Investment
Telkom Kenya
Airtel Kenya
UAP Old Mutual Group
Britam
Kenya Ports Authority (KPA)
Kenya Pipeline Company (KPC)
Kenya Revenue Authority (KRA)
Kenya Wildlife Service (KWS)
Nairobi Securities Exchange (NSE)
Kenya Tea Development Agency (KTDA)
Kenya Breweries Limited
East African Breweries Limited (EABL)
KenGen (Kenya Electricity Generating Company)
M-Pesa Foundation
Safaricom Foundation
KCB Foundation
Equity Group Foundation
Kenya Red Cross Society
Amref Health Africa
BRCK
iHub
Strathmore University
University of Nairobi
Kenyatta University
Jomo Kenyatta University of Agriculture and Technology (JKUAT)
Moi University
Egerton University
Maseno University
United States International University Africa (USIU-Africa)
Aga Khan University Hospital, Nairobi
Nairobi Hospital
Kenyatta National Hospital
